year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y
2017;8;30;4;19.5;533.0;15.7;15.6;;17.0;16.9;-0.20684958545246657;0.9783727556499837;-0.49384212668649863;-0.8695515820868571;7.77777777777777;45.0;93.0;29.68;;
2017;8;30;5;19.3;541.0;15.2;15.1;;17.0;16.8;0.004118726151275426;0.9999915180114733;-0.6887013779123784;-0.7250451103632044;9.44444444444444;46.0;90.0;29.68;-2.2500000000000018;-3.897114317029973
2017;8;30;6;19.6;554.0;56.1;50.1;4137.0;32.3;17.0;0.21490179804888868;0.9766356624634156;-0.9035099743555458;-0.42856706154351265;10.5555555555555;48.0;91.0;29.695;-2.223130931616851;-6.108002035108403
2017;8;30;7;20.9;531.0;71.8;69.0;1119.0;21.0;17.3;-0.673610534645427;0.7390864953540296;-0.9801236490777113;-0.1983875815634423;12.5;49.0;82.0;29.71;-9.575555538987226;-8.03484512108174
2017;8;30;8;21.4;512.0;56.5;56.0;335.0;21.4;17.3;-0.502606020007969;0.8645155803406606;-0.9858405920444512;0.1676852023210335;12.7777777777777;50.0;82.0;29.71;-7.070663706551934;-8.426488874308756
2017;8;30;9;21.5;513.0;31.9;32.9;;19.2;17.7;-0.3089967999287619;0.951063077631439;-0.9164519318717831;0.4001447945037855;14.4444444444444;50.0;74.5;29.71;-8.03007010891465;-11.468128620045881
2017;8;30;10;21.4;526.0;24.1;24.5;;19.0;17.9;-0.9550452624959538;0.2964600252715949;-0.7110060009795846;0.7031859402540831;13.8888888888888;50.0;77.0;29.71;-5.7053465334994495;-12.23515512499477
2017;8;30;11;21.2;537.0;20.5;20.5;;19.0;18.2;-0.8710519392764395;0.4911909191778221;-0.5207541769867083;0.8537066751237781;13.8888888888888;50.0;77.0;29.71;-6.882917236212556;-9.8298245314679
2017;8;30;12;20.9;536.0;18.5;18.4;;19.0;18.3;-0.7478830556219431;0.6638305017951386;-0.17857742482792058;0.9839258627263684;15.0;49.0;70.0;29.71;-4.860110010018049;-10.422539550921472
2017;8;30;13;20.7;538.0;17.6;17.6;;19.0;18.3;-0.5910781319993199;0.8066143080011626;0.063610260761502;0.9979748166791854;16.1111111111111;50.0;67.5;29.71;-4.750000000000004;-8.227241335952165
2017;8;30;14;20.6;536.0;30.6;26.4;2911.0;19.4;18.3;-0.999850827810639;-0.017272004121695772;0.41854887601887286;0.908194273480811;17.2222222222222;47.0;57.0;29.71;-2.296212748401287e-15;-12.5
2017;8;30;15;21.7;526.0;72.0;69.3;1007.0;24.5;18.4;-0.981008959337546;0.19396242342130393;0.6249290131858326;0.7806815794410558;16.6666666666666;47.0;59.0;29.71;-2.170602220836629;-12.3100969126526
2017;8;30;16;21.9;535.0;72.2;69.5;1790.0;20.2;18.7;-0.9180462135196286;0.3964733910898341;0.7945306729874398;0.6072240193553989;16.1111111111111;46.0;59.0;29.71;-4.275251791570867;-11.746157759823852
2017;8;30;17;22.0;536.0;71.9;69.2;1231.0;20.5;18.8;-0.8535670590912863;-0.5209829897743808;0.959839050801692;0.2805512369534431;13.8888888888888;46.0;67.0;29.71;-3.5912115049195283;-9.866772518252036
2017;8;30;18;22.2;526.0;72.2;69.4;1119.0;20.0;19.0;-0.9442360503322351;-0.3292693141684792;0.99915244259502;0.041163047219626686;13.3333333333333;48.0;74.5;29.71;-3.0781812899310244;-8.457233587073175
2017;8;30;19;22.6;512.0;72.1;69.5;1119.0;20.0;19.0;-0.992438025788331;-0.1227467513597002;0.9470041104605562;-0.32122144195369423;11.6666666666666;46.0;79.5;29.74;-2.0521208599540164;-5.63815572471545
